neighbourhood_group,neighbourhood,room_type,average_price,listings_count,average_minimum_nights,total_number_of_reviews,average_reviews_per_month
Brooklyn,Fort Greene,Entire home/apt,188.87360594795538,269,5.862453531598513,6684,0.9093308550185873
Brooklyn,Fort Greene,Private room,84.9047619047619,126,5.674603174603175,3889,1.2257936507936507
Brooklyn,Fort Greene,Shared room,34.333333333333336,6,1.6666666666666667,35,1.3566666666666667
Brooklyn,Fort Hamilton,Entire home/apt,116.77777777777777,27,6.333333333333333,481,0.8411111111111111
Brooklyn,Fort Hamilton,Private room,66.75,16,2.5625,239,0.84375
Brooklyn,Fort Hamilton,Shared room,30.0,2,1.0,25,0.89
Brooklyn,Gowanus,Entire home/apt,199.425,120,6.483333333333333,4555,1.29825
Brooklyn,Gowanus,Private room,95.66279069767442,86,3.046511627906977,2990,1.533139534883721
Brooklyn,Gowanus,Shared room,40.5,2,1.5,164,1.21
Brooklyn,Gravesend,Entire home/apt,110.5625,16,6.375,615,2.11
Brooklyn,Gravesend,Private room,57.94736842105263,19,3.4210526315789473,587,1.085263157894737
Brooklyn,Gravesend,Shared room,34.625,8,5.75,134,0.855
Brooklyn,Greenpoint,Entire home/apt,187.76458752515092,497,7.410462776659959,11719,0.9189537223340041
Brooklyn,Greenpoint,Private room,87.24722222222222,360,4.216666666666667,7615,0.8973888888888889
Brooklyn,Greenpoint,Shared room,60.3,10,13.2,83,0.453
Brooklyn,Kensington,Entire home/apt,136.3859649122807,57,4.421052631578948,863,0.7128070175438597
Brooklyn,Kensington,Private room,55.160493827160494,81,5.061728395061729,2106,1.285925925925926
Brooklyn,Kensington,Shared room,52.5,2,2.5,3,0.345
Brooklyn,Manhattan Beach,Entire home/apt,115.8,5,8.2,266,1.4739999999999998
Brooklyn,Manhattan Beach,Private room,85.0,2,3.0,139,1.45
Brooklyn,Midwood,Entire home/apt,97.08108108108108,37,3.081081081081081,755,1.041081081081081
Brooklyn,Midwood,Private room,62.64102564102564,39,3.4871794871794872,868,0.8817948717948718
Brooklyn,Midwood,Shared room,34.4,5,3.6,32,0.558
Brooklyn,Mill Basin,Entire home/apt,179.75,4,2.25,69,2.1275
Brooklyn,Navy Yard,Entire home/apt,165.375,8,3.75,152,0.57
Brooklyn,Navy Yard,Private room,125.0,4,2.5,99,1.4400000000000002
Brooklyn,Park Slope,Entire home/apt,196.92156862745097,306,6.2745098039215685,9583,1.0297712418300653
Brooklyn,Park Slope,Private room,90.3495145631068,103,4.048543689320389,5009,1.1429126213592233
Brooklyn,Park Slope,Shared room,78.0,1,1.0,46,1.38
Brooklyn,Prospect Heights,Entire home/apt,187.1851851851852,189,6.407407407407407,4342,0.8047089947089947
Brooklyn,Prospect Heights,Private room,87.1864406779661,118,2.983050847457627,6533,1.578728813559322
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,142.83739837398375,246,4.808943089430894,6866,1.220081300813008
Brooklyn,Prospect-Lefferts Gardens,Private room,64.3265306122449,196,4.285714285714286,7157,1.5335714285714286
Brooklyn,Prospect-Lefferts Gardens,Shared room,39.57142857142857,7,2.0,28,0.40857142857142864
Brooklyn,Red Hook,Entire home/apt,177.0,42,3.642857142857143,1503,1.3888095238095237
Brooklyn,Red Hook,Private room,68.72727272727273,22,3.772727272727273,758,1.529090909090909
Brooklyn,Red Hook,Shared room,34.0,2,1.0,2,0.525
Brooklyn,Sea Gate,Entire home/apt,611.0,3,4.333333333333333,8,0.42333333333333334
Brooklyn,Sea Gate,Private room,97.0,1,1.0,2,0.05
Brooklyn,Sheepshead Bay,Entire home/apt,176.85714285714286,49,4.428571428571429,1462,1.8822448979591837
Brooklyn,Sheepshead Bay,Private room,58.58064516129032,62,2.5,1173,1.7070967741935485
Brooklyn,Sheepshead Bay,Shared room,37.333333333333336,15,2.533333333333333,627,1.5613333333333335
Brooklyn,South Slope,Entire home/apt,172.906432748538,171,4.883040935672515,7264,1.2693567251461988
Brooklyn,South Slope,Private room,84.31506849315069,73,3.8219178082191783,3140,1.1587671232876713
Brooklyn,South Slope,Shared room,55.0,1,2.0,1,0.06
Brooklyn,Sunset Park,Entire home/apt,156.06451612903226,155,5.935483870967742,4429,1.338774193548387
Brooklyn,Sunset Park,Private room,68.0886075949367,158,3.5126582278481013,3422,1.1646202531645569
Brooklyn,Sunset Park,Shared room,48.4,5,1.2,31,1.202
Brooklyn,Vinegar Hill,Entire home/apt,211.7058823529412,17,10.235294117647058,336,0.648235294117647
Brooklyn,Vinegar Hill,Private room,80.125,8,2.625,172,1.1825
Brooklyn,Vinegar Hill,Shared room,250.0,1,2.0,37,1.09
Brooklyn,Williamsburg,Entire home/apt,197.26339285714286,1568,5.205357142857143,43572,1.0879910714285714
Brooklyn,Williamsburg,Private room,83.48061029879212,1573,4.185632549268913,41259,1.1120915448188176
Brooklyn,Williamsburg,Shared room,76.33333333333333,21,3.4285714285714284,593,0.968095238095238
Brooklyn,Windsor Terrace,Entire home/apt,153.32978723404256,94,5.925531914893617,2954,1.165531914893617
Brooklyn,Windsor Terrace,Private room,68.08823529411765,34,4.088235294117647,1370,1.3308823529411764
Manhattan,Battery Park City,Entire home/apt,226.56521739130434,23,12.347826086956522,220,0.5843478260869565
Manhattan,Battery Park City,Private room,107.75,12,1.75,155,0.6533333333333334
Manhattan,Battery Park City,Shared room,55.0,1,1.0,205,3.04
Manhattan,Chelsea,Entire home/apt,259.2981878088962,607,6.976935749588138,14043,1.0903459637561779
Manhattan,Chelsea,Private room,120.09302325581395,215,3.646511627906977,9296,1.7013953488372093
Manhattan,Chelsea,Shared room,71.66666666666667,6,1.6666666666666667,302,1.875
Manhattan,Chinatown,Entire home/apt,205.6120218579235,183,5.8469945355191255,5234,1.2472677595628416
Manhattan,Chinatown,Private room,94.08823529411765,136,4.367647058823529,4612,1.4919117647058824
Manhattan,Chinatown,Shared room,61.5,2,1.0,95,4.18
Manhattan,Civic Center,Entire home/apt,206.21052631578948,19,5.315789473684211,540,0.9063157894736842
Manhattan,Civic Center,Private room,107.0,11,4.636363636363637,97,0.5499999999999999
Manhattan,East Harlem,Entire home/apt,191.57177033492823,418,4.590909090909091,14105,1.5590909090909093
Manhattan,East Harlem,Private room,88.37809917355372,484,4.016528925619835,20913,1.715103305785124
Manhattan,East Harlem,Shared room,58.73809523809524,42,2.1904761904761907,1428,2.3154761904761907
Manhattan,East Village,Entire home/apt,213.79495268138803,951,5.252365930599369,26694,1.1019348054679285
Manhattan,East Village,Private room,106.54961832061069,524,3.7729007633587788,17537,1.1488740458015267
Manhattan,East Village,Shared room,86.06666666666666,15,4.466666666666667,439,1.23
Manhattan,Financial District,Entire home/apt,246.04145077720207,386,6.898963730569948,4910,1.6497150259067357
Manhattan,Financial District,Private room,133.9075630252101,119,4.621848739495798,1999,0.9473949579831933
Manhattan,Financial District,Shared room,109.25,4,1.25,22,0.6275
Manhattan,Flatiron District,Entire home/apt,323.2340425531915,47,5.659574468085107,1269,1.27
Manhattan,Flatiron District,Private room,155.8181818181818,11,4.0,150,1.170909090909091
Manhattan,Gramercy,Entire home/apt,241.0421052631579,190,7.868421052631579,5057,1.0829473684210527
Manhattan,Gramercy,Private room,114.71014492753623,69,3.0869565217391304,2488,1.1830434782608694
Manhattan,Gramercy,Shared room,63.25,4,1.75,137,1.8475000000000001
Manhattan,Greenwich Village,Entire home/apt,279.6521739130435,230,6.178260869565217,4689,0.9410434782608695
Manhattan,Greenwich Village,Private room,118.6842105263158,76,5.657894736842105,1836,0.8657894736842104
Manhattan,Greenwich Village,Shared room,56.0,1,31.0,1,0.05
Manhattan,Harlem,Entire home/apt,173.34584755403867,879,5.463026166097839,30870,1.275164960182025
Manhattan,Harlem,Private room,80.04179566563468,1292,4.435758513931889,43790,1.3792647058823528
Manhattan,Harlem,Shared room,72.11428571428571,35,1.8857142857142857,1302,1.5242857142857142
Manhattan,Hell's Kitchen,Entire home/apt,233.32844243792326,886,8.55530474040632,21577,1.6192550790067721
Manhattan,Hell's Kitchen,Private room,127.33511586452762,561,3.344028520499109,26657,2.0523351158645275
